x,F_x
0.6950000000000001,1.3181148788882766e-238
0.7000000000000001,4.7607565854963325e-242
0.705,1.6245117931756712e-245
0.71,5.237137028313177e-249
0.715,1.595104657813145e-252
0.72,4.58995688753761e-256
0.725,1.2478207596905601e-259
0.73,3.204940594747228e-263
0.735,7.776997129667961e-267
0.74,1.782904456140934e-270
0.745,3.8616097236965266e-274
0.75,7.901924311675347e-278
0.755,1.527641784317942e-281
0.76,2.7901937990192548e-285
0.765,4.81472389120461e-289
0.77,7.849329883754639e-293
0.775,1.2089767625953779e-296
0.78,1.7592497686254508e-300
0.785,2.4185842970662827e-304
0.79,3.14137029180163e-308
0.795,3.854794341886e-312
0.8,4.4689703e-316
0.805,4.895e-320
0.81,0.0
0.8150000000000001,0.0
0.8200000000000001,0.0
0.8250000000000001,0.0
0.8300000000000001,0.0
0.835,0.0
0.84,0.0
0.845,0.0
0.85,0.0
0.855,0.0
0.86,0.0
0.865,0.0
0.87,0.0
0.875,0.0
0.88,0.0
0.885,0.0
0.89,0.0
0.895,0.0
0.9,0.0
0.905,0.0
0.91,0.0
0.915,0.0
0.92,0.0
0.925,0.0
0.93,0.0
0.935,0.0
0.9400000000000001,0.0
0.9450000000000001,0.0
0.9500000000000001,0.0
0.9550000000000001,0.0
0.96,0.0
0.965,0.0
0.97,0.0
0.975,0.0
0.98,0.0
0.985,0.0
0.99,0.0
0.995,0.0
1.0,0.0
